group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,,130000,,,270824400.0,ns,1
RBTree Benchmarking,,130000,,,285646800.0,ns,1
RBTree Benchmarking,,130000,,,290082600.0,ns,1
RBTree Benchmarking,,130000,,,284873700.0,ns,1
RBTree Benchmarking,,130000,,,300557500.0,ns,1
RBTree Benchmarking,,130000,,,286266700.0,ns,1
RBTree Benchmarking,,130000,,,295396600.0,ns,1
RBTree Benchmarking,,130000,,,300688600.0,ns,1
RBTree Benchmarking,,130000,,,309905500.0,ns,1
RBTree Benchmarking,,130000,,,315398100.0,ns,1
RBTree Benchmarking,,130000,,,323934600.0,ns,1
RBTree Benchmarking,,130000,,,353779700.0,ns,1
RBTree Benchmarking,,130000,,,385198700.0,ns,1
RBTree Benchmarking,,130000,,,389813600.0,ns,1
RBTree Benchmarking,,130000,,,393858900.0,ns,1
RBTree Benchmarking,,130000,,,405036500.0,ns,1
RBTree Benchmarking,,130000,,,419627600.0,ns,1
RBTree Benchmarking,,130000,,,420657100.0,ns,1
RBTree Benchmarking,,130000,,,435273300.0,ns,1
RBTree Benchmarking,,130000,,,433017100.0,ns,1
RBTree Benchmarking,,130000,,,451706400.0,ns,1
RBTree Benchmarking,,130000,,,449285900.0,ns,1
RBTree Benchmarking,,130000,,,458116100.0,ns,1
RBTree Benchmarking,,130000,,,466157200.0,ns,1
RBTree Benchmarking,,130000,,,483915400.0,ns,1
RBTree Benchmarking,,130000,,,484065400.0,ns,1
RBTree Benchmarking,,130000,,,500127500.0,ns,1
RBTree Benchmarking,,130000,,,507309100.0,ns,1
RBTree Benchmarking,,130000,,,508980400.0,ns,1
RBTree Benchmarking,,130000,,,525367100.0,ns,1
RBTree Benchmarking,,130000,,,534349900.0,ns,1
RBTree Benchmarking,,130000,,,544068600.0,ns,1
RBTree Benchmarking,,130000,,,552255900.0,ns,1
RBTree Benchmarking,,130000,,,559253600.0,ns,1
RBTree Benchmarking,,130000,,,568017500.0,ns,1
RBTree Benchmarking,,130000,,,579346000.0,ns,1
RBTree Benchmarking,,130000,,,584137300.0,ns,1
RBTree Benchmarking,,130000,,,577716600.0,ns,1
RBTree Benchmarking,,130000,,,602654000.0,ns,1
RBTree Benchmarking,,130000,,,604534900.0,ns,1
RBTree Benchmarking,,130000,,,609015000.0,ns,1
RBTree Benchmarking,,130000,,,618933500.0,ns,1
RBTree Benchmarking,,130000,,,632851100.0,ns,1
RBTree Benchmarking,,130000,,,634758400.0,ns,1
RBTree Benchmarking,,130000,,,640871100.0,ns,1
RBTree Benchmarking,,130000,,,656168800.0,ns,1
RBTree Benchmarking,,130000,,,669114800.0,ns,1
RBTree Benchmarking,,130000,,,684917900.0,ns,1
RBTree Benchmarking,,130000,,,683886200.0,ns,1
RBTree Benchmarking,,130000,,,698678100.0,ns,1
RBTree Benchmarking,,130000,,,708141600.0,ns,1
RBTree Benchmarking,,130000,,,717179500.0,ns,1
RBTree Benchmarking,,130000,,,729288800.0,ns,1
RBTree Benchmarking,,130000,,,739710000.0,ns,1
RBTree Benchmarking,,130000,,,744316800.0,ns,1
RBTree Benchmarking,,130000,,,748324600.0,ns,1
RBTree Benchmarking,,130000,,,760723300.0,ns,1
RBTree Benchmarking,,130000,,,769260700.0,ns,1
RBTree Benchmarking,,130000,,,776881100.0,ns,1
RBTree Benchmarking,,130000,,,769568900.0,ns,1
RBTree Benchmarking,,130000,,,798342700.0,ns,1
RBTree Benchmarking,,130000,,,804257300.0,ns,1
RBTree Benchmarking,,130000,,,811160100.0,ns,1
RBTree Benchmarking,,130000,,,821794800.0,ns,1
RBTree Benchmarking,,130000,,,824001600.0,ns,1
RBTree Benchmarking,,130000,,,834778200.0,ns,1
RBTree Benchmarking,,130000,,,842091400.0,ns,1
RBTree Benchmarking,,130000,,,859698700.0,ns,1
RBTree Benchmarking,,130000,,,870354400.0,ns,1
RBTree Benchmarking,,130000,,,878208800.0,ns,1
RBTree Benchmarking,,130000,,,889280800.0,ns,1
RBTree Benchmarking,,130000,,,885960800.0,ns,1
RBTree Benchmarking,,130000,,,903930400.0,ns,1
RBTree Benchmarking,,130000,,,913664100.0,ns,1
RBTree Benchmarking,,130000,,,915989200.0,ns,1
RBTree Benchmarking,,130000,,,927047400.0,ns,1
RBTree Benchmarking,,130000,,,932691100.0,ns,1
RBTree Benchmarking,,130000,,,945899700.0,ns,1
RBTree Benchmarking,,130000,,,958938500.0,ns,1
RBTree Benchmarking,,130000,,,958248900.0,ns,1
RBTree Benchmarking,,130000,,,969438500.0,ns,1
RBTree Benchmarking,,130000,,,988051700.0,ns,1
RBTree Benchmarking,,130000,,,988917800.0,ns,1
RBTree Benchmarking,,130000,,,1000816900.0,ns,1
RBTree Benchmarking,,130000,,,1019387100.0,ns,1
RBTree Benchmarking,,130000,,,1012493700.0,ns,1
RBTree Benchmarking,,130000,,,1035282400.0,ns,1
RBTree Benchmarking,,130000,,,1025953000.0,ns,1
RBTree Benchmarking,,130000,,,1017255500.0,ns,1
RBTree Benchmarking,,130000,,,1056327100.0,ns,1
RBTree Benchmarking,,130000,,,1044320700.0,ns,1
RBTree Benchmarking,,130000,,,1058194600.0,ns,1
RBTree Benchmarking,,130000,,,1090279600.0,ns,1
RBTree Benchmarking,,130000,,,1085752400.0,ns,1
RBTree Benchmarking,,130000,,,1100457900.0,ns,1
RBTree Benchmarking,,130000,,,1098404800.0,ns,1
RBTree Benchmarking,,130000,,,1116615200.0,ns,1
RBTree Benchmarking,,130000,,,1133974000.0,ns,1
RBTree Benchmarking,,130000,,,1145643100.0,ns,1
RBTree Benchmarking,,130000,,,1141459200.0,ns,1
