group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,Search,5,,,68453100.0,ns,1
RBTree Benchmarking,Search,5,,,68059900.0,ns,1
RBTree Benchmarking,Search,5,,,68254200.0,ns,1
RBTree Benchmarking,Search,5,,,69527400.0,ns,1
RBTree Benchmarking,Search,5,,,68029100.0,ns,1
RBTree Benchmarking,Search,5,,,67999400.0,ns,1
RBTree Benchmarking,Search,5,,,69051700.0,ns,1
RBTree Benchmarking,Search,5,,,68336500.0,ns,1
RBTree Benchmarking,Search,5,,,68314300.0,ns,1
RBTree Benchmarking,Search,5,,,67977100.0,ns,1
RBTree Benchmarking,Search,5,,,68085400.0,ns,1
RBTree Benchmarking,Search,5,,,67956400.0,ns,1
RBTree Benchmarking,Search,5,,,68039600.0,ns,1
RBTree Benchmarking,Search,5,,,68426200.0,ns,1
RBTree Benchmarking,Search,5,,,68314500.0,ns,1
RBTree Benchmarking,Search,5,,,68163700.0,ns,1
RBTree Benchmarking,Search,5,,,68117300.0,ns,1
RBTree Benchmarking,Search,5,,,68003300.0,ns,1
RBTree Benchmarking,Search,5,,,67937200.0,ns,1
RBTree Benchmarking,Search,5,,,68150000.0,ns,1
RBTree Benchmarking,Search,5,,,68526100.0,ns,1
RBTree Benchmarking,Search,5,,,69612000.0,ns,1
RBTree Benchmarking,Search,5,,,69232100.0,ns,1
RBTree Benchmarking,Search,5,,,68717800.0,ns,1
RBTree Benchmarking,Search,5,,,68313000.0,ns,1
RBTree Benchmarking,Search,5,,,68208600.0,ns,1
RBTree Benchmarking,Search,5,,,67887000.0,ns,1
RBTree Benchmarking,Search,5,,,67731500.0,ns,1
RBTree Benchmarking,Search,5,,,67642300.0,ns,1
RBTree Benchmarking,Search,5,,,68735300.0,ns,1
RBTree Benchmarking,Search,5,,,68104700.0,ns,1
RBTree Benchmarking,Search,5,,,68047000.0,ns,1
RBTree Benchmarking,Search,5,,,68056000.0,ns,1
RBTree Benchmarking,Search,5,,,67938100.0,ns,1
RBTree Benchmarking,Search,5,,,67913600.0,ns,1
RBTree Benchmarking,Search,5,,,68556500.0,ns,1
RBTree Benchmarking,Search,5,,,68169700.0,ns,1
RBTree Benchmarking,Search,5,,,68263500.0,ns,1
RBTree Benchmarking,Search,5,,,67846300.0,ns,1
RBTree Benchmarking,Search,5,,,67993100.0,ns,1
RBTree Benchmarking,Search,5,,,68140600.0,ns,1
RBTree Benchmarking,Search,5,,,68162200.0,ns,1
RBTree Benchmarking,Search,5,,,67962700.0,ns,1
RBTree Benchmarking,Search,5,,,68227200.0,ns,1
RBTree Benchmarking,Search,5,,,68346300.0,ns,1
RBTree Benchmarking,Search,5,,,68161900.0,ns,1
RBTree Benchmarking,Search,5,,,68094200.0,ns,1
RBTree Benchmarking,Search,5,,,69669700.0,ns,1
RBTree Benchmarking,Search,5,,,68016900.0,ns,1
RBTree Benchmarking,Search,5,,,68201000.0,ns,1
RBTree Benchmarking,Search,5,,,69445800.0,ns,1
RBTree Benchmarking,Search,5,,,68802700.0,ns,1
RBTree Benchmarking,Search,5,,,69037500.0,ns,1
RBTree Benchmarking,Search,5,,,68515000.0,ns,1
RBTree Benchmarking,Search,5,,,68607500.0,ns,1
RBTree Benchmarking,Search,5,,,69017700.0,ns,1
RBTree Benchmarking,Search,5,,,68672700.0,ns,1
RBTree Benchmarking,Search,5,,,68272100.0,ns,1
RBTree Benchmarking,Search,5,,,68425800.0,ns,1
RBTree Benchmarking,Search,5,,,68220000.0,ns,1
RBTree Benchmarking,Search,5,,,69208400.0,ns,1
RBTree Benchmarking,Search,5,,,68273500.0,ns,1
RBTree Benchmarking,Search,5,,,68250400.0,ns,1
RBTree Benchmarking,Search,5,,,68278700.0,ns,1
RBTree Benchmarking,Search,5,,,68228300.0,ns,1
RBTree Benchmarking,Search,5,,,68224500.0,ns,1
RBTree Benchmarking,Search,5,,,68426800.0,ns,1
RBTree Benchmarking,Search,5,,,68153400.0,ns,1
RBTree Benchmarking,Search,5,,,68192700.0,ns,1
RBTree Benchmarking,Search,5,,,68275000.0,ns,1
RBTree Benchmarking,Search,5,,,68223300.0,ns,1
RBTree Benchmarking,Search,5,,,68158000.0,ns,1
RBTree Benchmarking,Search,5,,,68032500.0,ns,1
RBTree Benchmarking,Search,5,,,68255200.0,ns,1
RBTree Benchmarking,Search,5,,,68186100.0,ns,1
RBTree Benchmarking,Search,5,,,69939400.0,ns,1
RBTree Benchmarking,Search,5,,,68151800.0,ns,1
RBTree Benchmarking,Search,5,,,68316500.0,ns,1
RBTree Benchmarking,Search,5,,,68243800.0,ns,1
RBTree Benchmarking,Search,5,,,68399500.0,ns,1
RBTree Benchmarking,Search,5,,,68278400.0,ns,1
RBTree Benchmarking,Search,5,,,68375500.0,ns,1
RBTree Benchmarking,Search,5,,,68355000.0,ns,1
RBTree Benchmarking,Search,5,,,67909100.0,ns,1
RBTree Benchmarking,Search,5,,,68274400.0,ns,1
RBTree Benchmarking,Search,5,,,68075900.0,ns,1
RBTree Benchmarking,Search,5,,,68321300.0,ns,1
RBTree Benchmarking,Search,5,,,68437000.0,ns,1
RBTree Benchmarking,Search,5,,,68261600.0,ns,1
RBTree Benchmarking,Search,5,,,68320100.0,ns,1
RBTree Benchmarking,Search,5,,,68242800.0,ns,1
RBTree Benchmarking,Search,5,,,68222400.0,ns,1
RBTree Benchmarking,Search,5,,,68231900.0,ns,1
RBTree Benchmarking,Search,5,,,68446200.0,ns,1
RBTree Benchmarking,Search,5,,,68265600.0,ns,1
RBTree Benchmarking,Search,5,,,68464400.0,ns,1
RBTree Benchmarking,Search,5,,,68496100.0,ns,1
RBTree Benchmarking,Search,5,,,68240700.0,ns,1
RBTree Benchmarking,Search,5,,,68084600.0,ns,1
RBTree Benchmarking,Search,5,,,68365000.0,ns,1
