group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Insert into RB,,130000,,,49171800.0,ns,2
Insert into RB,,130000,,,47169800.0,ns,2
Insert into RB,,130000,,,50286900.0,ns,2
Insert into RB,,130000,,,53167200.0,ns,2
Insert into RB,,130000,,,49029400.0,ns,2
Insert into RB,,130000,,,50593700.0,ns,2
Insert into RB,,130000,,,49064400.0,ns,2
Insert into RB,,130000,,,51111800.0,ns,2
Insert into RB,,130000,,,48830200.0,ns,2
Insert into RB,,130000,,,50572500.0,ns,2
Insert into RB,,130000,,,51898900.0,ns,2
Insert into RB,,130000,,,51753100.0,ns,2
Insert into RB,,130000,,,48016300.0,ns,2
Insert into RB,,130000,,,51189400.0,ns,2
Insert into RB,,130000,,,47401000.0,ns,2
Insert into RB,,130000,,,52211900.0,ns,2
Insert into RB,,130000,,,47017200.0,ns,2
Insert into RB,,130000,,,49320700.0,ns,2
Insert into RB,,130000,,,50041300.0,ns,2
Insert into RB,,130000,,,51623000.0,ns,2
Insert into RB,,130000,,,50800400.0,ns,2
Insert into RB,,130000,,,52108100.0,ns,2
Insert into RB,,130000,,,50780900.0,ns,2
Insert into RB,,130000,,,52245100.0,ns,2
Insert into RB,,130000,,,50483200.0,ns,2
Insert into RB,,130000,,,52853900.0,ns,2
Insert into RB,,130000,,,52358900.0,ns,2
Insert into RB,,130000,,,48923200.0,ns,2
Insert into RB,,130000,,,50373400.0,ns,2
Insert into RB,,130000,,,53468200.0,ns,2
Insert into RB,,130000,,,47605700.0,ns,2
Insert into RB,,130000,,,52079700.0,ns,2
Insert into RB,,130000,,,49813400.0,ns,2
Insert into RB,,130000,,,48490200.0,ns,2
Insert into RB,,130000,,,49755700.0,ns,2
Insert into RB,,130000,,,50539400.0,ns,2
Insert into RB,,130000,,,50021300.0,ns,2
Insert into RB,,130000,,,48093300.0,ns,2
Insert into RB,,130000,,,51564300.0,ns,2
Insert into RB,,130000,,,49964600.0,ns,2
Insert into RB,,130000,,,49365800.0,ns,2
Insert into RB,,130000,,,48609800.0,ns,2
Insert into RB,,130000,,,60710100.0,ns,2
Insert into RB,,130000,,,51595900.0,ns,2
Insert into RB,,130000,,,58670200.0,ns,2
Insert into RB,,130000,,,57882500.0,ns,2
Insert into RB,,130000,,,52857500.0,ns,2
Insert into RB,,130000,,,56518400.0,ns,2
Insert into RB,,130000,,,59184300.0,ns,2
Insert into RB,,130000,,,54545700.0,ns,2
Insert into RB,,130000,,,52692300.0,ns,2
Insert into RB,,130000,,,56181300.0,ns,2
Insert into RB,,130000,,,59589400.0,ns,2
Insert into RB,,130000,,,56753000.0,ns,2
Insert into RB,,130000,,,58488600.0,ns,2
Insert into RB,,130000,,,60625500.0,ns,2
Insert into RB,,130000,,,54309900.0,ns,2
Insert into RB,,130000,,,48710100.0,ns,2
Insert into RB,,130000,,,52213800.0,ns,2
Insert into RB,,130000,,,51879600.0,ns,2
Insert into RB,,130000,,,53655700.0,ns,2
Insert into RB,,130000,,,51458900.0,ns,2
Insert into RB,,130000,,,78967100.0,ns,2
Insert into RB,,130000,,,66147200.0,ns,2
Insert into RB,,130000,,,58084600.0,ns,2
Insert into RB,,130000,,,57303500.0,ns,2
Insert into RB,,130000,,,58328700.0,ns,2
Insert into RB,,130000,,,62483100.0,ns,2
Insert into RB,,130000,,,56828300.0,ns,2
Insert into RB,,130000,,,58460500.0,ns,2
Insert into RB,,130000,,,62296300.0,ns,2
Insert into RB,,130000,,,59413900.0,ns,2
Insert into RB,,130000,,,54817900.0,ns,2
Insert into RB,,130000,,,58658000.0,ns,2
Insert into RB,,130000,,,59749700.0,ns,2
Insert into RB,,130000,,,55407700.0,ns,2
Insert into RB,,130000,,,58510100.0,ns,2
Insert into RB,,130000,,,57509800.0,ns,2
Insert into RB,,130000,,,60368200.0,ns,2
Insert into RB,,130000,,,56270600.0,ns,2
Insert into RB,,130000,,,59725800.0,ns,2
Insert into RB,,130000,,,57965800.0,ns,2
Insert into RB,,130000,,,55370600.0,ns,2
Insert into RB,,130000,,,63350400.0,ns,2
Insert into RB,,130000,,,58484500.0,ns,2
Insert into RB,,130000,,,57783700.0,ns,2
Insert into RB,,130000,,,65215100.0,ns,2
Insert into RB,,130000,,,64144300.0,ns,2
Insert into RB,,130000,,,58380900.0,ns,2
Insert into RB,,130000,,,63421200.0,ns,2
Insert into RB,,130000,,,57459500.0,ns,2
Insert into RB,,130000,,,58413200.0,ns,2
Insert into RB,,130000,,,56460100.0,ns,2
Insert into RB,,130000,,,56781500.0,ns,2
Insert into RB,,130000,,,59637400.0,ns,2
Insert into RB,,130000,,,55607300.0,ns,2
Insert into RB,,130000,,,60080700.0,ns,2
Insert into RB,,130000,,,57291100.0,ns,2
Insert into RB,,130000,,,55162400.0,ns,2
Insert into RB,,130000,,,61246900.0,ns,2
