group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,Search,4,,,56772300.0,ns,1
RBTree Benchmarking,Search,4,,,54622500.0,ns,1
RBTree Benchmarking,Search,4,,,54326100.0,ns,1
RBTree Benchmarking,Search,4,,,54579700.0,ns,1
RBTree Benchmarking,Search,4,,,54691300.0,ns,1
RBTree Benchmarking,Search,4,,,54615300.0,ns,1
RBTree Benchmarking,Search,4,,,54610000.0,ns,1
RBTree Benchmarking,Search,4,,,54714900.0,ns,1
RBTree Benchmarking,Search,4,,,55818600.0,ns,1
RBTree Benchmarking,Search,4,,,54898000.0,ns,1
RBTree Benchmarking,Search,4,,,54253000.0,ns,1
RBTree Benchmarking,Search,4,,,54613800.0,ns,1
RBTree Benchmarking,Search,4,,,54412000.0,ns,1
RBTree Benchmarking,Search,4,,,54368200.0,ns,1
RBTree Benchmarking,Search,4,,,54333600.0,ns,1
RBTree Benchmarking,Search,4,,,55193300.0,ns,1
RBTree Benchmarking,Search,4,,,54595700.0,ns,1
RBTree Benchmarking,Search,4,,,55768100.0,ns,1
RBTree Benchmarking,Search,4,,,54876300.0,ns,1
RBTree Benchmarking,Search,4,,,54473100.0,ns,1
RBTree Benchmarking,Search,4,,,54466800.0,ns,1
RBTree Benchmarking,Search,4,,,54682600.0,ns,1
RBTree Benchmarking,Search,4,,,54203100.0,ns,1
RBTree Benchmarking,Search,4,,,54203500.0,ns,1
RBTree Benchmarking,Search,4,,,54509800.0,ns,1
RBTree Benchmarking,Search,4,,,56143300.0,ns,1
RBTree Benchmarking,Search,4,,,54624900.0,ns,1
RBTree Benchmarking,Search,4,,,55330700.0,ns,1
RBTree Benchmarking,Search,4,,,55345200.0,ns,1
RBTree Benchmarking,Search,4,,,54672400.0,ns,1
RBTree Benchmarking,Search,4,,,54815200.0,ns,1
RBTree Benchmarking,Search,4,,,54045600.0,ns,1
RBTree Benchmarking,Search,4,,,54288600.0,ns,1
RBTree Benchmarking,Search,4,,,54526500.0,ns,1
RBTree Benchmarking,Search,4,,,54707200.0,ns,1
RBTree Benchmarking,Search,4,,,54668500.0,ns,1
RBTree Benchmarking,Search,4,,,54573900.0,ns,1
RBTree Benchmarking,Search,4,,,54407500.0,ns,1
RBTree Benchmarking,Search,4,,,55191700.0,ns,1
RBTree Benchmarking,Search,4,,,54918800.0,ns,1
RBTree Benchmarking,Search,4,,,56134800.0,ns,1
RBTree Benchmarking,Search,4,,,54627300.0,ns,1
RBTree Benchmarking,Search,4,,,54377200.0,ns,1
RBTree Benchmarking,Search,4,,,55329800.0,ns,1
RBTree Benchmarking,Search,4,,,54525400.0,ns,1
RBTree Benchmarking,Search,4,,,54541300.0,ns,1
RBTree Benchmarking,Search,4,,,54647000.0,ns,1
RBTree Benchmarking,Search,4,,,55415000.0,ns,1
RBTree Benchmarking,Search,4,,,55568400.0,ns,1
RBTree Benchmarking,Search,4,,,55240100.0,ns,1
RBTree Benchmarking,Search,4,,,55986200.0,ns,1
RBTree Benchmarking,Search,4,,,55105300.0,ns,1
RBTree Benchmarking,Search,4,,,54550500.0,ns,1
RBTree Benchmarking,Search,4,,,54764500.0,ns,1
RBTree Benchmarking,Search,4,,,54885300.0,ns,1
RBTree Benchmarking,Search,4,,,54802600.0,ns,1
RBTree Benchmarking,Search,4,,,54592400.0,ns,1
RBTree Benchmarking,Search,4,,,54880600.0,ns,1
RBTree Benchmarking,Search,4,,,54504200.0,ns,1
RBTree Benchmarking,Search,4,,,54453500.0,ns,1
RBTree Benchmarking,Search,4,,,54442900.0,ns,1
RBTree Benchmarking,Search,4,,,54664500.0,ns,1
RBTree Benchmarking,Search,4,,,54438000.0,ns,1
RBTree Benchmarking,Search,4,,,54518600.0,ns,1
RBTree Benchmarking,Search,4,,,54343900.0,ns,1
RBTree Benchmarking,Search,4,,,54666000.0,ns,1
RBTree Benchmarking,Search,4,,,54647400.0,ns,1
RBTree Benchmarking,Search,4,,,54741200.0,ns,1
RBTree Benchmarking,Search,4,,,56296500.0,ns,1
RBTree Benchmarking,Search,4,,,54492600.0,ns,1
RBTree Benchmarking,Search,4,,,54249000.0,ns,1
RBTree Benchmarking,Search,4,,,54583300.0,ns,1
RBTree Benchmarking,Search,4,,,56069400.0,ns,1
RBTree Benchmarking,Search,4,,,54355500.0,ns,1
RBTree Benchmarking,Search,4,,,54399800.0,ns,1
RBTree Benchmarking,Search,4,,,55509100.0,ns,1
RBTree Benchmarking,Search,4,,,54557700.0,ns,1
RBTree Benchmarking,Search,4,,,54493800.0,ns,1
RBTree Benchmarking,Search,4,,,54190400.0,ns,1
RBTree Benchmarking,Search,4,,,54461200.0,ns,1
RBTree Benchmarking,Search,4,,,54582000.0,ns,1
RBTree Benchmarking,Search,4,,,54326600.0,ns,1
RBTree Benchmarking,Search,4,,,54013200.0,ns,1
RBTree Benchmarking,Search,4,,,54480100.0,ns,1
RBTree Benchmarking,Search,4,,,54623800.0,ns,1
RBTree Benchmarking,Search,4,,,54087400.0,ns,1
RBTree Benchmarking,Search,4,,,54440200.0,ns,1
RBTree Benchmarking,Search,4,,,55472300.0,ns,1
RBTree Benchmarking,Search,4,,,55288800.0,ns,1
RBTree Benchmarking,Search,4,,,54518200.0,ns,1
RBTree Benchmarking,Search,4,,,54480300.0,ns,1
RBTree Benchmarking,Search,4,,,54866500.0,ns,1
RBTree Benchmarking,Search,4,,,54757000.0,ns,1
RBTree Benchmarking,Search,4,,,54496800.0,ns,1
RBTree Benchmarking,Search,4,,,54500500.0,ns,1
RBTree Benchmarking,Search,4,,,54670600.0,ns,1
RBTree Benchmarking,Search,4,,,54721000.0,ns,1
RBTree Benchmarking,Search,4,,,54520100.0,ns,1
RBTree Benchmarking,Search,4,,,54787600.0,ns,1
RBTree Benchmarking,Search,4,,,54649400.0,ns,1
