group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,,10000,,,172838500.0,ns,2
RBTree Benchmarking,,10000,,,177175900.0,ns,2
RBTree Benchmarking,,10000,,,170649400.0,ns,2
RBTree Benchmarking,,10000,,,182616100.0,ns,2
RBTree Benchmarking,,10000,,,185588000.0,ns,2
RBTree Benchmarking,,10000,,,188605300.0,ns,2
RBTree Benchmarking,,10000,,,179997800.0,ns,2
RBTree Benchmarking,,10000,,,191670900.0,ns,2
RBTree Benchmarking,,10000,,,197169800.0,ns,2
RBTree Benchmarking,,10000,,,191799700.0,ns,2
RBTree Benchmarking,,10000,,,203033000.0,ns,2
RBTree Benchmarking,,10000,,,205675600.0,ns,2
RBTree Benchmarking,,10000,,,205116700.0,ns,2
RBTree Benchmarking,,10000,,,198551000.0,ns,2
RBTree Benchmarking,,10000,,,212158200.0,ns,2
RBTree Benchmarking,,10000,,,217039700.0,ns,2
RBTree Benchmarking,,10000,,,219892200.0,ns,2
RBTree Benchmarking,,10000,,,217793500.0,ns,2
RBTree Benchmarking,,10000,,,223811200.0,ns,2
RBTree Benchmarking,,10000,,,218846500.0,ns,2
RBTree Benchmarking,,10000,,,231792200.0,ns,2
RBTree Benchmarking,,10000,,,230011000.0,ns,2
RBTree Benchmarking,,10000,,,236276600.0,ns,2
RBTree Benchmarking,,10000,,,238238600.0,ns,2
RBTree Benchmarking,,10000,,,238877800.0,ns,2
RBTree Benchmarking,,10000,,,236283200.0,ns,2
RBTree Benchmarking,,10000,,,244055000.0,ns,2
RBTree Benchmarking,,10000,,,249935000.0,ns,2
RBTree Benchmarking,,10000,,,253149600.0,ns,2
RBTree Benchmarking,,10000,,,257078500.0,ns,2
RBTree Benchmarking,,10000,,,249199800.0,ns,2
RBTree Benchmarking,,10000,,,248155200.0,ns,2
RBTree Benchmarking,,10000,,,262629900.0,ns,2
RBTree Benchmarking,,10000,,,266574400.0,ns,2
RBTree Benchmarking,,10000,,,259876100.0,ns,2
RBTree Benchmarking,,10000,,,267646800.0,ns,2
RBTree Benchmarking,,10000,,,268360600.0,ns,2
RBTree Benchmarking,,10000,,,278447600.0,ns,2
RBTree Benchmarking,,10000,,,278515100.0,ns,2
RBTree Benchmarking,,10000,,,283349900.0,ns,2
RBTree Benchmarking,,10000,,,277493900.0,ns,2
RBTree Benchmarking,,10000,,,282981800.0,ns,2
RBTree Benchmarking,,10000,,,284562800.0,ns,2
RBTree Benchmarking,,10000,,,287210800.0,ns,2
RBTree Benchmarking,,10000,,,294568000.0,ns,2
RBTree Benchmarking,,10000,,,296324400.0,ns,2
RBTree Benchmarking,,10000,,,300521900.0,ns,2
RBTree Benchmarking,,10000,,,302564400.0,ns,2
RBTree Benchmarking,,10000,,,299712200.0,ns,2
RBTree Benchmarking,,10000,,,306655900.0,ns,2
RBTree Benchmarking,,10000,,,303660200.0,ns,2
RBTree Benchmarking,,10000,,,303424400.0,ns,2
RBTree Benchmarking,,10000,,,313577200.0,ns,2
RBTree Benchmarking,,10000,,,319515700.0,ns,2
RBTree Benchmarking,,10000,,,301605500.0,ns,2
RBTree Benchmarking,,10000,,,286580100.0,ns,2
RBTree Benchmarking,,10000,,,290486300.0,ns,2
RBTree Benchmarking,,10000,,,293115400.0,ns,2
RBTree Benchmarking,,10000,,,294929900.0,ns,2
RBTree Benchmarking,,10000,,,298506300.0,ns,2
RBTree Benchmarking,,10000,,,301221800.0,ns,2
RBTree Benchmarking,,10000,,,317346900.0,ns,2
RBTree Benchmarking,,10000,,,343741000.0,ns,2
RBTree Benchmarking,,10000,,,344492100.0,ns,2
RBTree Benchmarking,,10000,,,337269900.0,ns,2
RBTree Benchmarking,,10000,,,344766500.0,ns,2
RBTree Benchmarking,,10000,,,352132100.0,ns,2
RBTree Benchmarking,,10000,,,338242100.0,ns,2
RBTree Benchmarking,,10000,,,351105900.0,ns,2
RBTree Benchmarking,,10000,,,353519800.0,ns,2
RBTree Benchmarking,,10000,,,363090700.0,ns,2
RBTree Benchmarking,,10000,,,361167800.0,ns,2
RBTree Benchmarking,,10000,,,372381400.0,ns,2
RBTree Benchmarking,,10000,,,371278700.0,ns,2
RBTree Benchmarking,,10000,,,375746500.0,ns,2
RBTree Benchmarking,,10000,,,372757000.0,ns,2
RBTree Benchmarking,,10000,,,382222200.0,ns,2
RBTree Benchmarking,,10000,,,388683000.0,ns,2
RBTree Benchmarking,,10000,,,378365700.0,ns,2
RBTree Benchmarking,,10000,,,389870000.0,ns,2
RBTree Benchmarking,,10000,,,387504000.0,ns,2
RBTree Benchmarking,,10000,,,389237000.0,ns,2
RBTree Benchmarking,,10000,,,389825300.0,ns,2
RBTree Benchmarking,,10000,,,399707400.0,ns,2
RBTree Benchmarking,,10000,,,405800100.0,ns,2
RBTree Benchmarking,,10000,,,411409700.0,ns,2
RBTree Benchmarking,,10000,,,410200000.0,ns,2
RBTree Benchmarking,,10000,,,416813600.0,ns,2
RBTree Benchmarking,,10000,,,418705700.0,ns,2
RBTree Benchmarking,,10000,,,416444800.0,ns,2
RBTree Benchmarking,,10000,,,422731000.0,ns,2
RBTree Benchmarking,,10000,,,422803000.0,ns,2
RBTree Benchmarking,,10000,,,425907100.0,ns,2
RBTree Benchmarking,,10000,,,419101200.0,ns,2
RBTree Benchmarking,,10000,,,431027000.0,ns,2
RBTree Benchmarking,,10000,,,434446500.0,ns,2
RBTree Benchmarking,,10000,,,435940500.0,ns,2
RBTree Benchmarking,,10000,,,441900900.0,ns,2
RBTree Benchmarking,,10000,,,444821700.0,ns,2
RBTree Benchmarking,,10000,,,445434100.0,ns,2
