group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
RBTree Benchmarking,Search,3,,,59473500.0,ns,1
RBTree Benchmarking,Search,3,,,55413800.0,ns,1
RBTree Benchmarking,Search,3,,,54181300.0,ns,1
RBTree Benchmarking,Search,3,,,54457600.0,ns,1
RBTree Benchmarking,Search,3,,,56423300.0,ns,1
RBTree Benchmarking,Search,3,,,54286800.0,ns,1
RBTree Benchmarking,Search,3,,,54419800.0,ns,1
RBTree Benchmarking,Search,3,,,54420900.0,ns,1
RBTree Benchmarking,Search,3,,,54516100.0,ns,1
RBTree Benchmarking,Search,3,,,54380000.0,ns,1
RBTree Benchmarking,Search,3,,,54431000.0,ns,1
RBTree Benchmarking,Search,3,,,55667700.0,ns,1
RBTree Benchmarking,Search,3,,,54519100.0,ns,1
RBTree Benchmarking,Search,3,,,54599000.0,ns,1
RBTree Benchmarking,Search,3,,,54487900.0,ns,1
RBTree Benchmarking,Search,3,,,55084700.0,ns,1
RBTree Benchmarking,Search,3,,,54376200.0,ns,1
RBTree Benchmarking,Search,3,,,54480900.0,ns,1
RBTree Benchmarking,Search,3,,,54800300.0,ns,1
RBTree Benchmarking,Search,3,,,54520000.0,ns,1
RBTree Benchmarking,Search,3,,,54225600.0,ns,1
RBTree Benchmarking,Search,3,,,56003700.0,ns,1
RBTree Benchmarking,Search,3,,,54249500.0,ns,1
RBTree Benchmarking,Search,3,,,54367100.0,ns,1
RBTree Benchmarking,Search,3,,,54368500.0,ns,1
RBTree Benchmarking,Search,3,,,54429000.0,ns,1
RBTree Benchmarking,Search,3,,,54490100.0,ns,1
RBTree Benchmarking,Search,3,,,54411900.0,ns,1
RBTree Benchmarking,Search,3,,,54397300.0,ns,1
RBTree Benchmarking,Search,3,,,54402700.0,ns,1
RBTree Benchmarking,Search,3,,,54404300.0,ns,1
RBTree Benchmarking,Search,3,,,54388700.0,ns,1
RBTree Benchmarking,Search,3,,,54479200.0,ns,1
RBTree Benchmarking,Search,3,,,55516400.0,ns,1
RBTree Benchmarking,Search,3,,,54350700.0,ns,1
RBTree Benchmarking,Search,3,,,54305000.0,ns,1
RBTree Benchmarking,Search,3,,,55042900.0,ns,1
RBTree Benchmarking,Search,3,,,55437800.0,ns,1
RBTree Benchmarking,Search,3,,,55088600.0,ns,1
RBTree Benchmarking,Search,3,,,54384100.0,ns,1
RBTree Benchmarking,Search,3,,,54983900.0,ns,1
RBTree Benchmarking,Search,3,,,54281300.0,ns,1
RBTree Benchmarking,Search,3,,,54413200.0,ns,1
RBTree Benchmarking,Search,3,,,55042700.0,ns,1
RBTree Benchmarking,Search,3,,,55454300.0,ns,1
RBTree Benchmarking,Search,3,,,54339400.0,ns,1
RBTree Benchmarking,Search,3,,,54333900.0,ns,1
RBTree Benchmarking,Search,3,,,54411400.0,ns,1
RBTree Benchmarking,Search,3,,,54432100.0,ns,1
RBTree Benchmarking,Search,3,,,54444000.0,ns,1
RBTree Benchmarking,Search,3,,,54405400.0,ns,1
RBTree Benchmarking,Search,3,,,55552500.0,ns,1
RBTree Benchmarking,Search,3,,,55832200.0,ns,1
RBTree Benchmarking,Search,3,,,54185900.0,ns,1
RBTree Benchmarking,Search,3,,,54378500.0,ns,1
RBTree Benchmarking,Search,3,,,54413700.0,ns,1
RBTree Benchmarking,Search,3,,,54377200.0,ns,1
RBTree Benchmarking,Search,3,,,54245500.0,ns,1
RBTree Benchmarking,Search,3,,,54265700.0,ns,1
RBTree Benchmarking,Search,3,,,54276100.0,ns,1
RBTree Benchmarking,Search,3,,,54365800.0,ns,1
RBTree Benchmarking,Search,3,,,54423300.0,ns,1
RBTree Benchmarking,Search,3,,,55035800.0,ns,1
RBTree Benchmarking,Search,3,,,54305700.0,ns,1
RBTree Benchmarking,Search,3,,,54373500.0,ns,1
RBTree Benchmarking,Search,3,,,56100700.0,ns,1
RBTree Benchmarking,Search,3,,,54938200.0,ns,1
RBTree Benchmarking,Search,3,,,55165200.0,ns,1
RBTree Benchmarking,Search,3,,,54558900.0,ns,1
RBTree Benchmarking,Search,3,,,54705000.0,ns,1
RBTree Benchmarking,Search,3,,,54652400.0,ns,1
RBTree Benchmarking,Search,3,,,54689000.0,ns,1
RBTree Benchmarking,Search,3,,,54639300.0,ns,1
RBTree Benchmarking,Search,3,,,54755800.0,ns,1
RBTree Benchmarking,Search,3,,,54674500.0,ns,1
RBTree Benchmarking,Search,3,,,54641500.0,ns,1
RBTree Benchmarking,Search,3,,,54723500.0,ns,1
RBTree Benchmarking,Search,3,,,54684800.0,ns,1
RBTree Benchmarking,Search,3,,,54671300.0,ns,1
RBTree Benchmarking,Search,3,,,54685600.0,ns,1
RBTree Benchmarking,Search,3,,,54688800.0,ns,1
RBTree Benchmarking,Search,3,,,54705100.0,ns,1
RBTree Benchmarking,Search,3,,,54695600.0,ns,1
RBTree Benchmarking,Search,3,,,54605200.0,ns,1
RBTree Benchmarking,Search,3,,,54671600.0,ns,1
RBTree Benchmarking,Search,3,,,54659700.0,ns,1
RBTree Benchmarking,Search,3,,,54678700.0,ns,1
RBTree Benchmarking,Search,3,,,54658100.0,ns,1
RBTree Benchmarking,Search,3,,,54757500.0,ns,1
RBTree Benchmarking,Search,3,,,54664300.0,ns,1
RBTree Benchmarking,Search,3,,,54755500.0,ns,1
RBTree Benchmarking,Search,3,,,54718500.0,ns,1
RBTree Benchmarking,Search,3,,,54723900.0,ns,1
RBTree Benchmarking,Search,3,,,54656800.0,ns,1
RBTree Benchmarking,Search,3,,,54654400.0,ns,1
RBTree Benchmarking,Search,3,,,54732300.0,ns,1
RBTree Benchmarking,Search,3,,,54684900.0,ns,1
RBTree Benchmarking,Search,3,,,54582600.0,ns,1
RBTree Benchmarking,Search,3,,,54626600.0,ns,1
RBTree Benchmarking,Search,3,,,54769600.0,ns,1
